Date;Iterations;Records;TP;TN;FP;FN;Accuracy;Specificity;Sensitivity;Precision;GMean;AUC;F1 Score;MCC
2015-01-12 14:00:09;10;1640;42.800;41.300;41.300;38.600;0.513;0.502;0.527;0.000;0.512;0.763;0.516;+0.029;
2015-01-12 14:07:13;10;1640;42.800;40.200;40.700;40.300;0.506;0.500;0.513;0.000;0.505;0.756;0.509;+0.012;
2015-01-12 14:09:45;10;1640;40.600;41.200;43.700;38.500;0.499;0.484;0.513;0.000;0.495;0.757;0.495;-0.003;
2015-01-14 13:03:36;10;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;+0.000;
2015-01-14 13:04:18;10;1640;25.200;106.900;7.900;24.000;0.805;0.947;0.423;0.000;0.578;0.612;0.545;+0.479;
2015-01-14 13:06:50;10;1640;22.500;106.000;11.500;24.000;0.784;0.925;-1.#IO;0.000;-1.#IO;-1.#IO;0.457;-1.#IO;
2015-01-14 13:07:24;10;1640;27.000;103.100;7.700;26.200;0.793;0.948;0.426;0.000;0.581;0.613;0.552;+0.475;
2015-01-14 13:10:24;10;1640;30.100;95.000;1.100;37.800;0.763;0.989;0.447;0.000;0.663;0.724;0.608;+0.544;
2015-01-14 20:30:18;10;1640;32.400;99.500;1.500;30.600;0.804;0.985;0.516;0.000;0.712;0.758;0.668;+0.601;
2015-01-14 20:30:50;10;1640;28.600;101.300;4.300;29.800;0.792;0.967;0.456;0.000;0.636;0.678;0.597;+0.524;
2015-01-14 20:31:54;10;1640;20.800;101.000;13.500;28.700;0.743;0.904;0.306;0.000;0.440;0.503;0.401;+0.285;
2015-01-14 23:00:02;10;1640;32.600;93.700;1.200;36.500;0.770;0.987;0.472;0.000;0.682;0.736;0.633;+0.560;
2015-01-14 23:03:24;10;1640;23.200;99.000;10.500;31.300;0.745;0.924;0.337;0.000;0.482;0.519;0.448;+0.341;
2015-01-14 23:05:28;10;1640;29.500;101.600;1.300;31.600;0.799;0.987;0.483;0.000;0.690;0.742;0.641;+0.582;
2015-01-14 23:09:18;10;1640;11.900;106.700;18.200;27.200;0.723;0.869;0.197;0.000;0.308;0.399;0.262;+0.124;
2015-01-14 23:13:47;10;1640;32.800;93.500;1.000;36.700;0.770;0.990;0.472;0.000;0.681;0.736;0.631;+0.563;
2015-01-14 23:15:58;10;1640;27.600;103.600;1.200;31.600;0.800;0.989;0.471;0.000;0.680;0.735;0.627;+0.575;
2015-01-14 23:18:02;10;1640;22.300;103.200;10.000;28.500;0.765;0.928;0.345;0.000;0.502;0.573;0.454;+0.356;
2015-01-14 23:19:36;10;1640;31.200;99.900;1.200;31.700;0.799;0.988;0.495;0.000;0.698;0.747;0.652;+0.590;
2015-01-14 23:32:33;10;1640;30.700;99.000;1.200;33.100;0.791;0.988;0.483;0.000;0.689;0.742;0.641;+0.579;
2015-01-15 00:13:37;10;1640;25.800;100.800;8.100;29.300;0.772;0.945;-1.#IO;0.000;-1.#IO;-1.#IO;0.506;-1.#IO;
2015-01-15 00:17:01;10;1640;33.700;96.700;1.000;32.600;0.795;0.990;0.509;0.000;0.709;0.754;0.667;+0.598;
