### CROSS VALIDATION GLOBAL RESULTS ###

DATE                | ITERATIONS | RECORDS | TP    | TN    | FP    | FN    | ACCU. | SPEC. | SENS. | PREC. | GMEAN | AUC   | F1    | MCC    |
=============================================================================================================================================
2014-12-31 15:35:19 | 10         | 1000000 | 1000  | 1000  | 1000  | 1000  | 0.546 | 0.765 | 0.432 | 0.678 | 0.123 | 0.897 | 0.699 | +0.999 |
2015-01-05 21:29:26 | 10         | 23      | 5.800 | 5.800 | 5.300 | 6.100 | 0.504 | 0.527 | 0.477 | 0.000 | 0.498 | 0.738 | 0.491 | +0.002 |
2015-01-05 21:31:59 | 10         | 23      | 5.100 | 4.900 | 6.400 | 6.600 | 0.435 | 0.439 | 0.430 | 0.000 | 0.426 | 0.715 | 0.434 | -0.129 | 
2015-01-05 21:33:51 | 10         | 23      | 5.400 | 5.700 | 5.100 | 6.800 | 0.483 | 0.537 | 0.423 | 0.000 | 0.468 | 0.712 | 0.453 | -0.039 | 
2015-01-05 21:33:52 | 10         | 23      | 6.600 | 5.400 | 6.300 | 4.700 | 0.522 | 0.451 | 0.584 | 0.000 | 0.506 | 0.792 | 0.541 | +0.035 | 
2015-01-05 21:33:54 | 10         | 23      | 6.300 | 6.000 | 5.700 | 5.000 | 0.535 | 0.516 | 0.546 | 0.000 | 0.519 | 0.773 | 0.528 | +0.064 | 
2015-01-05 21:35:18 | 10         | 230     | 5.000 | 5.400 | 6.000 | 6.600 | 0.452 | 0.465 | 0.430 | 0.000 | 0.441 | 0.715 | 0.434 | -0.105 | 
2015-01-06 11:57:14 | 10         | 0       | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | +0.000 | 
2015-01-06 12:27:46 | 10         | 0       | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | +0.000 | 
2015-01-06 12:46:20 | 10         | 0       | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | +0.000 | 
2015-01-06 13:11:22 | 10         | 0       | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | +0.000 | 
2015-01-06 15:03:29 | 10         | 0       | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | +0.000 | 
2015-01-06 15:05:39 | 10         | 0       | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | +0.000 | 
